Sequence,Taxon_rank,Order,Family,Family_English_name,Scientific_name,English_name_AviList,English (United States),IUCN_Red_List_Category
1,order,Struthioniformes,,,Struthioniformes,,,
2,family,Struthioniformes,Struthionidae,Ostriches,Struthionidae,,,
3,genus,Struthioniformes,Struthionidae,Ostriches,Struthio,,,
4,species,Struthioniformes,Struthionidae,Ostriches,Struthio molybdophanes,Somali Ostrich,Somali Ostrich,VU
5,species,Struthioniformes,Struthionidae,Ostriches,Struthio camelus,Common Ostrich,Common Ostrich,LC
6,subspecies,Struthioniformes,Struthionidae,Ostriches,Struthio camelus syriacus,,,
7,subspecies,Struthioniformes,Struthionidae,Ostriches,Struthio camelus camelus,,,
8,subspecies,Struthioniformes,Struthionidae,Ostriches,Struthio camelus massaicus,,,
9,subspecies,Struthioniformes,Struthionidae,Ostriches,Struthio camelus australis,,,
10,order,Casuariiformes,,,Casuariiformes,,,
11,family,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuariidae,,,
12,genus,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius,,,
13,species,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius novaehollandiae,Emu,Emu,NE
14,subspecies,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius novaehollandiae novaehollandiae,,,
15,subspecies,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius novaehollandiae diemenensis,,,
16,subspecies,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius novaehollandiae minor,,,
17,subspecies,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius novaehollandiae baudinianus,,,
18,genus,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius,,,
19,species,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius casuarius,Southern Cassowary,Southern Cassowary,LC
20,species,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius bennetti,Dwarf Cassowary,Dwarf Cassowary,LC
21,subspecies,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius bennetti westermanni,,,
22,subspecies,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius bennetti bennetti,,,
23,species,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius unappendiculatus,Northern Cassowary,Northern Cassowary,LC
24,order,Apterygiformes,,,Apterygiformes,,,
25,family,Apterygiformes,Apterygidae,Kiwis,Apterygidae,,,
26,genus,Apterygiformes,Apterygidae,Kiwis,Apteryx,,,
27,species,Apterygiformes,Apterygidae,Kiwis,Apteryx owenii,Little Spotted Kiwi,Little Spotted Kiwi,NT
28,species,Apterygiformes,Apterygidae,Kiwis,Apteryx maxima,Great Spotted Kiwi,Great Spotted Kiwi,VU
29,species,Apterygiformes,Apterygidae,Kiwis,Apteryx australis,Southern Brown Kiwi,Southern Brown Kiwi,VU
30,subspecies,Apterygiformes,Apterygidae,Kiwis,Apteryx australis australis,,,
31,subspecies,Apterygiformes,Apterygidae,Kiwis,Apteryx australis lawryi,,,
32,species,Apterygiformes,Apterygidae,Kiwis,Apteryx rowi,Okarito Kiwi,Okarito Brown Kiwi,VU
33,species,Apterygiformes,Apterygidae,Kiwis,Apteryx mantelli,North Island Brown Kiwi,North Island Brown Kiwi,VU
34,order,Rheiformes,,,Rheiformes,,,
35,family,Rheiformes,Rheidae,Rheas,Rheidae,,,
36,genus,Rheiformes,Rheidae,Rheas,Rhea,,,
37,species,Rheiformes,Rheidae,Rheas,Rhea pennata,Lesser Rhea,Lesser Rhea,LC
38,subspecies,Rheiformes,Rheidae,Rheas,Rhea pennata garleppi,,,
39,subspecies,Rheiformes,Rheidae,Rheas,Rhea pennata tarapacensis,,,
40,subspecies,Rheiformes,Rheidae,Rheas,Rhea pennata pennata,,,
41,species,Rheiformes,Rheidae,Rheas,Rhea americana,Greater Rhea,Greater Rhea,NT
42,subspecies,Rheiformes,Rheidae,Rheas,Rhea americana americana,,,
43,subspecies,Rheiformes,Rheidae,Rheas,Rhea americana intermedia,,,
44,subspecies,Rheiformes,Rheidae,Rheas,Rhea americana nobilis,,,
45,subspecies,Rheiformes,Rheidae,Rheas,Rhea americana araneipes,,,
46,subspecies,Rheiformes,Rheidae,Rheas,Rhea americana albescens,,,
47,order,Tinamiformes,,,Tinamiformes,,,
48,family,Tinamiformes,Tinamidae,Tinamous,Tinamidae,,,
49,genus,Tinamiformes,Tinamidae,Tinamous,Tinamotis,,,
50,species,Tinamiformes,Tinamidae,Tinamous,Tinamotis pentlandii,Puna Tinamou,Puna Tinamou,LC
51,species,Tinamiformes,Tinamidae,Tinamous,Tinamotis ingoufi,Patagonian Tinamou,Patagonian Tinamou,LC
52,genus,Tinamiformes,Tinamidae,Tinamous,Eudromia,,,
53,species,Tinamiformes,Tinamidae,Tinamous,Eudromia formosa,Quebracho Crested Tinamou,Quebracho Crested-Tinamou,LC
54,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia formosa formosa,,,
55,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia formosa mira,,,
56,species,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans,Elegant Crested Tinamou,Elegant Crested-Tinamou,LC
57,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans intermedia,,,
58,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans magnistriata,,,
59,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans riojana,,,
60,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans albida,,,
61,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans wetmorei,,,
62,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans numida,,,
63,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans elegans,,,
64,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans multiguttata,,,
65,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans devia,,,
66,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans patagonica,,,
67,genus,Tinamiformes,Tinamidae,Tinamous,Taoniscus,,,
68,species,Tinamiformes,Tinamidae,Tinamous,Taoniscus nanus,Dwarf Tinamou,Dwarf Tinamou,EN
69,genus,Tinamiformes,Tinamidae,Tinamous,Nothura,,,
70,species,Tinamiformes,Tinamidae,Tinamous,Nothura boraquira,White-bellied Nothura,White-bellied Nothura,LC
71,species,Tinamiformes,Tinamidae,Tinamous,Nothura minor,Lesser Nothura,Lesser Nothura,VU
72,species,Tinamiformes,Tinamidae,Tinamous,Nothura darwinii,Darwin's Nothura,Darwin's Nothura,LC
73,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura darwinii peruviana,,,
74,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura darwinii agassizii,,,
75,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura darwinii boliviana,,,
76,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura darwinii salvadorii,,,
77,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura darwinii darwinii,,,
78,species,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa,Spotted Nothura,Spotted Nothura,LC
79,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa cearensis,,,
80,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa major,,,
81,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa paludivaga,,,
82,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa maculosa,,,
83,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa pallida,,,
84,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa annectens,,,
85,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa submontana,,,
86,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa nigroguttata,,,
87,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa chacoensis,,,
88,genus,Tinamiformes,Tinamidae,Tinamous,Rhynchotus,,,
89,species,Tinamiformes,Tinamidae,Tinamous,Rhynchotus maculicollis,Huayco Tinamou,Huayco Tinamou,LC
90,species,Tinamiformes,Tinamidae,Tinamous,Rhynchotus rufescens,Red-winged Tinamou,Red-winged Tinamou,LC
91,subspecies,Tinamiformes,Tinamidae,Tinamous,Rhynchotus rufescens catingae,,,
92,subspecies,Tinamiformes,Tinamidae,Tinamous,Rhynchotus rufescens pallescens,,,
93,subspecies,Tinamiformes,Tinamidae,Tinamous,Rhynchotus rufescens rufescens,,,
94,genus,Tinamiformes,Tinamidae,Tinamous,Nothoprocta,,,
95,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta taczanowskii,Taczanowski's Tinamou,Taczanowski's Tinamou,VU
96,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta ornata,Ornate Tinamou,Ornate Tinamou,LC
97,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta ornata branickii,,,
98,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta ornata ornata,,,
99,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta ornata rostrata,,,
100,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta perdicaria,Chilean Tinamou,Chilean Tinamou,LC
101,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta perdicaria perdicaria,,,
102,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta perdicaria sanborni,,,
103,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta cinerascens,Brushland Tinamou,Brushland Tinamou,LC
104,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta cinerascens cinerascens,,,
105,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta cinerascens parvimaculata,,,
106,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii,Andean Tinamou,Andean Tinamou,LC
107,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii ambigua,,,
108,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii niethammeri,,,
109,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii oustaleti,,,
110,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii fulvescens,,,
111,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii pentlandii,,,
